Active,Cured,Date,Deaths,District,State,Total
14,94,2020-07-12,0,Narmada,Gujarat,108
106,137,2020-07-12,1,Samba,Jammu and Kashmir,244
16,79,2020-07-12,0,Dhenkanal,Odisha,95
24,177,2020-07-12,8,Jalaun,Uttar Pradesh,209
185,89,2020-07-12,1,Rajouri,Jammu and Kashmir,275
20,121,2020-07-12,1,Punch,Jammu and Kashmir,142
55,206,2020-07-12,0,Ramban,Jammu and Kashmir,261
88,211,2020-07-12,1,Kathua,Jammu and Kashmir,300
31,254,2020-07-12,13,Anand,Gujarat,298
0,0,2020-07-12,0,South Garo Hills,Meghalaya,0
8,97,2020-07-12,0,Fazilka,Punjab,105
1639,2185,2020-07-12,40,Ganjam,Odisha,3864
988,872,2020-07-12,7,Salem,Tamil Nadu,1867
4,82,2020-07-12,0,Nuapada,Odisha,86
7,138,2020-07-12,1,Sri Muktsar Sahib,Punjab,146
308,343,2020-07-12,5,Pulwama,Jammu and Kashmir,656
11,36,2020-07-12,2,Satna,Madhya Pradesh,49
11,77,2020-07-12,1,Nabarangapur,Odisha,89
21,106,2020-07-12,1,Rupnagar,Punjab,128
321,659,2020-07-12,20,Kulgam,Jammu and Kashmir,1000
228,320,2020-07-12,13,Budgam,Jammu and Kashmir,561
8,45,2020-07-12,0,Boudh,Odisha,53
177,597,2020-07-12,14,Anantnag,Jammu and Kashmir,788
95,265,2020-07-12,3,Puri,Odisha,363
419,247,2020-07-12,2,Sundargarh,Odisha,668
17,123,2020-07-12,1,Rayagada,Odisha,141
88,51,2020-07-12,0,Koraput,Odisha,139
0,0,2020-07-12,0,Others,Odisha,0
1145,519,2020-07-12,44,Srinagar,Jammu and Kashmir,1708
54,247,2020-07-12,1,Udhampur,Jammu and Kashmir,302
73,289,2020-07-12,3,Bandipora,Jammu and Kashmir,365
314,1468,2020-07-12,92,Akola,Maharashtra,1875
248,741,2020-07-12,9,Cuttack,Odisha,998
342,553,2020-07-12,1,Jajpur,Odisha,896
173,439,2020-07-12,1,Gajapati,Odisha,613
48,232,2020-07-12,8,Gurdaspur,Punjab,288
122,395,2020-07-12,2,Balasore,Odisha,519
410,883,2020-07-12,14,Khordha,Odisha,1307
266,415,2020-07-12,6,Thanjavur,Tamil Nadu,687
7,37,2020-07-12,0,Subarnapur,Odisha,44
192,817,2020-07-12,53,Amritsar,Punjab,1062
87,252,2020-07-12,2,Mayurbhanj,Odisha,341
93,177,2020-07-12,0,Nayagarh,Odisha,270
49,212,2020-07-12,0,Balangir,Odisha,261
8,185,2020-07-12,0,Kandhamal,Odisha,193
25,145,2020-07-12,1,Bargarh,Odisha,171
69,101,2020-07-12,0,Malkangiri,Odisha,170
288,473,2020-07-12,10,Kupwara,Jammu and Kashmir,771
29,261,2020-07-12,3,Bhadrak,Odisha,293
84,0,2020-07-12,1,Baksa,Assam,85
522,676,2020-07-12,25,Jalandhar,Punjab,1223
337,544,2020-07-12,1,Palakkad,Kerala,883
304,399,2020-07-12,5,Kannur,Kerala,708
389,253,2020-07-12,2,Alappuzha,Kerala,645
209,432,2020-07-12,0,Kasaragod,Kerala,641
222,396,2020-07-12,4,Thrissur,Kerala,622
240,290,2020-07-12,0,Pathanamthitta,Kerala,531
301,202,2020-07-12,3,Ernakulam,Kerala,507
187,307,2020-07-12,2,Kollam,Kerala,496
160,241,2020-07-12,2,Kozhikode,Kerala,403
143,185,2020-07-12,1,Kottayam,Kerala,329
116,91,2020-07-12,0,Idukki,Kerala,207
88,81,2020-07-12,1,Wayanad,Kerala,170
0,0,2020-07-12,0,Other State,Kerala,0
3024,0,2020-07-12,0,State Unassigned,Kerala,3024
2995,0,2020-07-12,0,Unassigned,Kerala,2995
375,359,2020-07-12,3,Raipur,Chhattisgarh,737
34,144,2020-07-12,3,Sitamarhi,Bihar,181
11,4,2020-07-12,1,Alirajpur,Madhya Pradesh,16
18,33,2020-07-12,0,Balaghat,Madhya Pradesh,51
45,108,2020-07-12,0,Faridkot,Punjab,153
75,364,2020-07-12,6,Rohtas,Bihar,445
532,204,2020-07-12,6,Thiruvananthapuram,Kerala,742
33,89,2020-07-12,6,Kapurthala,Punjab,128
38,101,2020-07-12,4,Moga,Punjab,143
27,211,2020-07-12,8,Pathankot,Punjab,246
112,510,2020-07-12,19,Sangrur,Punjab,641
349,223,2020-07-12,12,Patiala,Punjab,584
110,274,2020-07-12,7,S.A.S. Nagar,Punjab,391
1,5,2020-07-12,1,Mandla,Madhya Pradesh,7
15,16,2020-07-12,0,Singrauli,Madhya Pradesh,31
742,544,2020-07-12,33,Baramulla,Jammu and Kashmir,1319
12,177,2020-07-12,7,Hoshiarpur,Punjab,196
67,145,2020-07-12,1,Shahid Bhagat Singh Nagar,Punjab,213
113,181,2020-07-12,1,Kendujhar,Odisha,295
50,115,2020-07-12,1,Arwal,Bihar,166
21,191,2020-07-12,5,Tarn Taran,Punjab,217
109,88,2020-07-12,4,Ganderbal,Jammu and Kashmir,201
24,120,2020-07-12,2,Fatehgarh Sahib,Punjab,146
27,269,2020-07-12,2,Kendrapara,Odisha,298
13,50,2020-07-12,0,Mansa,Punjab,63
42,95,2020-07-12,4,Bathinda,Punjab,141
57,69,2020-07-12,2,Doda,Jammu and Kashmir,128
21,25,2020-07-12,0,Kishtwar,Jammu and Kashmir,46
0,0,2020-07-12,0,Muzaffarabad,Jammu and Kashmir,0
0,0,2020-07-12,0,Mirpur,Jammu and Kashmir,0
457,888,2020-07-12,31,Ludhiana,Punjab,1376
211,674,2020-07-12,16,Shopiyan,Jammu and Kashmir,901
33,12,2020-07-12,2,Sehore,Madhya Pradesh,47
515,470,2020-07-12,5,Malappuram,Kerala,990
149,329,2020-07-12,10,Jammu,Jammu and Kashmir,488
103,316,2020-07-12,3,Khagaria,Bihar,422
108,6,2020-07-12,0,Tinsukia,Assam,114
86,20,2020-07-12,0,Karimganj,Assam,106
102,0,2020-07-12,0,Darrang,Assam,102
16,82,2020-07-12,0,Cachar,Assam,98
10,15,2020-07-12,2,Agar Malwa,Madhya Pradesh,27
80,9,2020-07-12,0,Dima Hasao,Assam,89
5133,10895,2020-07-12,41,Assam,Assam,16072
17,55,2020-07-12,2,Barnala,Punjab,74
14,98,2020-07-12,1,Sheohar,Bihar,113
4227,11953,2020-07-12,125,Bihar,Bihar,16305
0,0,2020-07-12,0,Other Region,Madhya Pradesh,0
6245,386,2020-07-12,12,Kamrup Metropolitan,Assam,6643
4,8,2020-07-12,0,Niwari,Madhya Pradesh,12
3870,9781,2020-07-12,15,Unknown,Assam,5929
329,5,2020-07-12,0,Dhubri,Assam,334
303,25,2020-07-12,2,Nagaon,Assam,330
184,88,2020-07-12,0,Golaghat,Assam,272
267,0,2020-07-12,0,Hojai,Assam,267
36,197,2020-07-12,1,Udalguri,Assam,234
193,21,2020-07-12,1,Kamrup,Assam,215
94,55,2020-07-12,1,Barpeta,Assam,150
86,35,2020-07-12,1,Sonitpur,Assam,122
90,54,2020-07-12,1,Jorhat,Assam,145
79,6,2020-07-12,0,Lakhimpur,Assam,85
7,13,2020-07-12,0,Seoni,Madhya Pradesh,20
3743,4095,2020-07-12,32,Kerala,Kerala,7874
2230,5392,2020-07-12,199,Punjab,Punjab,7821
18,39,2020-07-12,0,Reasi,Jammu and Kashmir,57
6,30,2020-07-12,0,Narsinghpur,Madhya Pradesh,36
69,103,2020-07-12,1,Jamui,Bihar,173
18,44,2020-07-12,1,Datia,Madhya Pradesh,63
20,42,2020-07-12,1,Ashoknagar,Madhya Pradesh,63
20,38,2020-07-12,0,Panna,Madhya Pradesh,58
14,43,2020-07-12,0,Damoh,Madhya Pradesh,57
9,39,2020-07-12,4,Hoshangabad,Madhya Pradesh,52
248,45,2020-07-12,2,Meghalaya,Meghalaya,295
118,17,2020-07-12,1,East Khasi Hills,Meghalaya,136
103516,140325,2020-07-12,10289,Maharashtra,Maharashtra,254427
15,9,2020-07-12,1,Umaria,Madhya Pradesh,25
42,31,2020-07-12,0,Pakur,Jharkhand,73
72,5,2020-07-12,0,Dibrugarh,Assam,77
38,4,2020-07-12,0,Goalpara,Assam,57
1,30,2020-07-12,0,Dindori,Madhya Pradesh,31
2,29,2020-07-12,0,Anuppur,Madhya Pradesh,31
11,19,2020-07-12,1,Sidhi,Madhya Pradesh,31
11,16,2020-07-12,3,Katni,Madhya Pradesh,30
8,22,2020-07-12,0,Shahdol,Madhya Pradesh,30
71,5,2020-07-12,2,Hailakandi,Assam,78
107,12,2020-07-12,1,Unknown,Meghalaya,120
16,0,2020-07-12,0,Ribhoi,Meghalaya,16
909,3153,2020-07-12,19,Chhattisgarh,Chhattisgarh,4081
7,76,2020-07-12,0,Kalahandi,Odisha,83
53,125,2020-07-12,2,Araria,Bihar,180
135,67,2020-07-12,1,Khowai,Tripura,203
53,339,2020-07-12,10,Darbhanga,Bihar,402
128,256,2020-07-12,4,West Champaran,Bihar,388
125,247,2020-07-12,5,Saran,Bihar,377
133,239,2020-07-12,4,Vaishali,Bihar,376
49,321,2020-07-12,0,Purnia,Bihar,370
70,297,2020-07-12,0,Supaul,Bihar,367
41,294,2020-07-12,4,Bhojpur,Bihar,339
71,258,2020-07-12,6,East Champaran,Bihar,335
54,270,2020-07-12,3,Jehanabad,Bihar,327
56,266,2020-07-12,1,Aurangabad,Bihar,323
