content,date,district,hour,minutes,place,sentiment,tweetid
Lockdown is bringing us close to the Nature. https://t.co/h7iQIczLQm,2020-07-19,Siddharth Nagar,3,37,Basti,neutral,1284693776573726721
"Coronavirus cases update India: Fresh cases cross new high of 38,000 on Saturday; 4,127 deaths in last 7 days 😱😱😱… https://t.co/2rHSD48R45",2020-07-19,Hyderabad,3,36,Hyderabad,negative,1284693584868851712
"Goddess of BOREDOM.🦋
What are you planning for today?!🌻
.
.
.
.
Pic taken on self timer with
canonindia_official .… https://t.co/FvUA19dBPk",2020-07-19,Pune,3,35,Pune,negative,1284693279016132609
May plz note our PAXs in r/o Kolhapur Lockdown going to implement wef 19July to 26July.Kolhapur Apt operation will… https://t.co/dIwHk1XIgi,2020-07-19,Kolhapur,3,35,Kolhapur,negative,1284693207591223302
"Oh, Delhi Govt wanted city to be like London, but it looks more like Venice now. 

Heavy rain exposes Delhi Govt's… https://t.co/I9Mp67mNcq",2020-07-19,New Delhi,3,32,New Delhi,positive,1284692642027077632
@amazonIN I’m from pune but due to lockdown imposed. Atleast you can change settings to accept the order and delive… https://t.co/6emZ4ogDK0,2020-07-19,Pune,3,31,Pune,positive,1284692308412096515
Lockdown time pass👍😜but no mask. https://t.co/HuZ3ZLiFgx,2020-07-19,New Delhi,3,27,New Delhi,negative,1284691373233328134
I am happy to take the pledge to fight against COVID19 Stigma &amp; discrimination. I encourage my friends to be part o… https://t.co/Gi4MPn3p8c,2020-07-19,Ahmedabad,3,26,Ahmadabad City,positive,1284691152214519814
@BadugulaSumathi @covid @TelanganaDGP Congratulations on the commendable work 👏🏼proud to have Telangana police 👮‍♀️… https://t.co/vWbt3YB7Ph,2020-07-19,Hyderabad,3,25,Hyderabad,positive,1284690687963758592
"Yes... Safe to walk, safe to breathe.

.
#lockdown #walkingstick #MasksOn #Corona #Covid_19 #Bengaluru https://t.co/aN7elgD5ND",2020-07-19,Bangalore,3,24,Bengaluru South,positive,1284690562591764480
@ANI More then 87 earthquake hits since lockdown. Any specific reason?,2020-07-19,Khordha,3,23,Bhubaneshwar,neutral,1284690360606703616
I hope this video will make government of Bihar feel ashame about their governance and health infrastructure. No wo… https://t.co/c6rEq0gIvZ,2020-07-19,Solan,3,22,Himachal Pradesh,negative,1284689996180385792
