content,date,district,place,problem,sentiment,tweetid
Devastated o know the news about Assam's flood and erosion...this is every years affairs...and it effected the life… https://t.co/6r1y2ZQNe6,2020-07-13,Kolkata,Kolkata,['Others'],negative,1.28e+18
"All our caught in the #lockdown.. 

A dog
And two clowns 
Hope knocked down 
Going round and round 

Hands bound… https://t.co/1LPEUpSMsu",2020-07-13,Mumbai,Mumbai,null,positive,1.28e+18
Is it a taunt to @SachinPilot for not joining BJP ?? #RajasthanPolitics #ashokgehlot51 #Covid_19 https://t.co/9jon96slUk,2020-07-13,Raigad,Panvel,null,neutral,1.28e+18
"Happening in one remote part of India 
Isn't this a better news than an actor past his retirement age getting Coron… https://t.co/pncdtjOKzR",2020-07-13,Kolkata,Kolkata,['Food Shortage'],negative,1.28e+18
The whole world is busy in containing the spread of COVID-19 &amp; here We r busy in toppling a democratically elected… https://t.co/dqLyeQyYiC,2020-07-13,Kolkata,Kolkata,null,neutral,1.28e+18
"We the Covid warriors of JJMMC, Davangere are on an indefinite strike for the past 15 days for our stipend which s… https://t.co/IIjKhDMrQJ",2020-07-13,Davanagere,Davanagere,['Economic'],negative,1.28e+18
"Now a days it's common to see water logging for the people of @Puberun Nagar, Satgaon
#flood 
#nofood
#lockdown… https://t.co/HaRi9hvmCx",2020-07-13,Kamrup Metropolitan,Guwahati,null,neutral,1.28e+18
"Gujarat Cop Who Stopped MLA's Son, His Friends Amid Lockdown Transferred - NDTV https://t.co/VfvB0N8HDZ",2020-07-13,Thane,Navi Mumbai,['Economic'],negative,1.28e+18
"In Bilaspur city are cases also growing very fast. Need to lockdown here too.
Who agree with me🙋‍♂️… https://t.co/v9SzCvhwby",2020-07-13,Rampur,Bilaspur,null,positive,1.28e+18
Finally @CDCgov is talking about importance of #nutrition in strengthening immune system during #Covid_19. CDC reco… https://t.co/6bEVCkvela,2020-07-13,Mumbai,Mumbai,null,positive,1.28e+18
@Hmwssbdgmchkgud @HMWSSBOnline @MDHMWSSB @GHMCOnline @KTRTRS @arvindkumar_ias @Hmwssbdgmadkmet @hmwssbgmom5… https://t.co/6zMb5NidHP,2020-07-13,Hyderabad,Hyderabad,null,neutral,1.28e+18
@mybmc @mybmcWardRN                   Our Hsg Soc is celebrating Ganesh Festival every year at our club house. We w… https://t.co/dFVPubdG56,2020-07-13,Mumbai,Mumbai,null,positive,1.28e+18
"#TrueWorship_CuresDiseases
Saint Rampal Ji Maharaj take guarantee to cure Covid-19 AIDS and cancer. Best treatment… https://t.co/QAGJvf3zk6",2020-07-13,Palwal,Palwal,['Others'],negative,1.28e+18
"While he works from home, the #PowerOfSPen has helped take Doodle muni’s art to the next level. How has your creati… https://t.co/Clwk7EdDk2",2020-07-13,Agra,Tamil Nadu,null,neutral,1.28e+18
"Who else really noticed @ashwinravi99 killing it with some super cool replies and tweets during this lockdown :P

@SriniMaama16 ?",2020-07-13,Chennai,Saidapet,null,positive,1.28e+18
"WYFF4 Greenville: SC reports first cases of MIS-C: rare health condition in children, linked to COVID-19, DHEC says… https://t.co/eyvMJDx2x8",2020-07-13,New Delhi,New Delhi,null,neutral,1.28e+18
Wear a Mask 😷 To Protect not just you but everyone around you as well! #CoronaUpdatesInIndia #WearAMaskSaveALife… https://t.co/fT8qM3gIlO,2020-07-13,Khordha,Bhubaneshwar,null,positive,1.28e+18
"#Covid_19 Thread by 
@LawrenceGostin https://t.co/D7R08NQnN4",2020-07-13,Gurugram,Gurgaon,null,neutral,1.28e+18
"Gujarat Woman Constable Who Stopped Minister’s Son, His Friends During Lockdown Transferred https://t.co/iADTlLfxri",2020-07-13,Gautam Buddha Nagar,Noida,['Economic'],negative,1.28e+18
"Sad to know the demise of K C H Ratnam,sr journalist from paralakhemundi due to Covid infection. Demand immediate c… https://t.co/94wGgepWtm",2020-07-13,Khordha,Bhubaneshwar,['Transpotation'],negative,1.28e+18
"""THE X FACTOR IN COVID-19"" is an engaging factor program for your kids organised by cuemath team across the country… https://t.co/Lmjxuavw5m",2020-07-13,Hyderabad,Hyderabad,['Others'],negative,1.28e+18
Consumer number space has been shut since lockdown..In reality the bill should be less than what is always consumed… https://t.co/uWbI2AsYX8,2020-07-13,Mumbai,Mumbai,['Others'],negative,1.28e+18
"#Ahmedabad: AMC conducts #COVID test of passengers traveling in ST buses  
@AmdavadAMC @OfficialGsrtc",2020-07-13,Ahmedabad,Ahmadabad City,null,neutral,1.28e+18
"@SamsungMobile @SamsungIndia on 13.07.2020 I visited Samsung Service Center ""Hearing World"" at Mahanagar Lucknow, t… https://t.co/WYiKPMMTu1",2020-07-13,Lucknow,Lucknow,null,neutral,1.28e+18
"@GovindDotasra 
Sir
Inspite your orders and circulars private schools of Bikaner are not paying salary during lockd… https://t.co/xRHK9OVfD0",2020-07-13,Gautam Buddha Nagar,Greater Noida,null,neutral,1.28e+18
@BangaloreMirror ‘Longer Lockdown?’BM highlighted an important angle of the Blore lockdown beg. July 14th night by… https://t.co/Ti2LROu4Zy,2020-07-13,Bangalore,Bengaluru,['Others'],negative,1.28e+18
"@mybmc @mybmcWardGN @DighavkarKiran @MumbaiPolice @OfficeofUT @AUThackeray 
wid already 12 COVID cases in our soc.,… https://t.co/L4V8B9ut86",2020-07-13,Mumbai,Dadar Vegetable Market,null,neutral,1.28e+18
A small contribution from @golfcityplot11 in the big movement of as many as 50 noida societies contributing to 18 l… https://t.co/21GHItdceH,2020-07-13,Gautam Buddha Nagar,Noida,null,positive,1.28e+18
"@DrKumarVishwas @kamaalrkhan @ndtvindia @News18India @aajtak @chetan_bhagat @BDUTT @ZeeNews I am shocked

Finally,… https://t.co/FJPPCOaH7N",2020-07-13,New Delhi,New Delhi,['Economic'],negative,1.28e+18
