tweetid,content,place,district,date,problem,sentiment
1.28e+18,"School fees, electricity bill,home rent, transportation, office rent, staff salary, gst , audit fees, raashan , san… https://t.co/cmqN11SlVH",Firozpur,Muktsar,2020-06-30,['Transpotation'],negative
1.28e+18,"To prevent from COVID-19 virus, sanitization took place today (30/06/2020) in Firozabad &amp; headquarters dabrai. Here… https://t.co/ifWz6d66s4",Firozabad,Firozabad,2020-06-30,,neutral
1.28e+18,"@Sci_j_my Just after 4 weeks but given the situation of COVID 19, will wait little more.",Lucknow,Lucknow,2020-06-30,['Others'],negative
1.28e+18,"Glad there’s a high number of testing in Delhi! 
Thank you @AmitShah Ji for stepping in &amp; making sure we are doing… https://t.co/tK0m1VPYfO",New Delhi,Central Delhi,2020-06-30,,positive
1.28e+18,"PM chairs meeting to review planning and preparations for vaccination against Covid-19
https://t.co/gnvxZ7eEam via… https://t.co/Io6apl1T6B",Kanayannur,Ernakulam,2020-06-30,,neutral
1.28e+18,"Urgently needs plasma therapy from a COVID negative patient.
Patient -Mr. Pawan Kumar Jain
Hospital - M D City Mode… https://t.co/pddrCQ8Ylg",Baramati,Pune ,2020-06-30,,neutral
1.28e+18,Now India make it's own COVID-19 vaccine candidate. https://t.co/LvYiRczeMy,Kolkata,Kolkata,2020-06-30,,neutral
1.28e+18,@sanjaykhilar @itzchampak Uff Yeh.. Lockdown ! 👌,Bhubaneshwar,Khordha,2020-06-30,,positive
1.28e+18,@Eatala_Rajender Lockdown should be done immediately.,Rajendra Nagar,Patna,2020-06-30,['Economic'],negative
1.28e+18,@hemantrajora_ @boxervijender @APillania @docvjg @Radhika_Khera @INCMohitJain @PANKAJPARASHAR_ It's a dangerous mix… https://t.co/eofnQINjhW,New Delhi,New Delhi,2020-06-30,['Daily Services'],negative
1.28e+18,"Day 1 post Covid 
62 year old low count AML. 
29 year old two time biopsed for iliac bone and open biopsy from L2 n… https://t.co/TRHsTZYjHZ",Gurgaon,Gurugram,2020-06-30,,neutral
1.28e+18,What a great turnaround story. #planning #UKSmallBusiness https://t.co/z2HzDJf563,Rajendra Nagar,Patna,2020-06-30,,positive
1.28e+18,This manipulation of covid case count is really confusing and misleading. Bad practice. Please clarify,Churachandpur,Churachandpur,2020-06-30,['Food Shortage'],negative
1.28e+18,"The  feed back of Choudhrypur villg.,Mirzapur Dist., UP,  Sri yogi ji’s committed administration in COvid operation… https://t.co/Rq2Np7dvkP",Hayathnagar,Rangareddy,2020-06-30,,neutral
1.28e+18,"We present to you:
*THE YAHA EXHIBITS AND CORPORATES*
-
THINK EVENTS THINK YAHA !
-
#event #lockdown #eventprofs… https://t.co/Xm4YPvPZ4w",Pune,Pune ,2020-06-30,,positive
1.28e+18,"""Challenge of covid-19 Role of Literature and society..""
#One_Day_National_Webinar....
by Hindi dipartment...… https://t.co/nhvWtxubxq",Lucknow,Lucknow,2020-06-30,,neutral
1.28e+18,"@PMOIndia 
Dear NaMo Sir
Have lost my job, have been honest taxpayer now no salary, how will I pay my LIC premium,… https://t.co/M69LHGHJ3O",Kalyan Dombivali,Thane,2020-06-30,['Economic'],negative
1.28e+18,"NEW DELHI: Prime Minister
Narendra Modi on Tuesday said that negligence in personal and social behaviour has been i… https://t.co/8pow2iAVvi",New Delhi,New Delhi,2020-06-30,,positive
1.28e+18,@Teensthack Your Hindi has certainly improved during lockdown!!! hume bhi avgat karna jab vidit ho🤗😆,Haveli,Pune ,2020-06-30,,positive
1.28e+18,"God is Great...😘😘
#Bollywood #IndiaDemandsCBIForSSR
#borisjohnsonspeech #DisneyPlusHotstarMultiplex
#tiktokers… https://t.co/lvAY2RPxWb",Mumbai,Mumbai ,2020-06-30,,positive
1.28e+18,"Breaking: Over 600 COVID-19 positive cases reported today in Assam. Out of which, over 370 are from Guwahati city a… https://t.co/WLSWDJnbBd",Guwahati,Kamrup Metropolitan,2020-06-30,,neutral
1.28e+18,"@tpanoop @BalakrishnanR Yes but they punish capitalists also. The new formula is to only punish tax payers, rest al… https://t.co/QzCe55Ms5U",Bengaluru South,Bangalore ,2020-06-30,['Daily Services'],negative
1.28e+18,My elder brother a senior citizen tested positive of Covid-19 on 17th June.He is under home isolation since then un… https://t.co/LQZ4thMARi,New Delhi,New Delhi,2020-06-30,,neutral
1.28e+18,For whimsical @narendramodi ji India is chasing USA in #COVID cases.Despite Central noncooperation… https://t.co/L7ul3zDZPu,Kolkata,Prayagraj,2020-06-30,['Transpotation'],negative
1.28e+18,"Dear LIC
I am a policyholder due to COVID 19 have lost my job and no salary, how will I pay my premium, as a specia… https://t.co/HjmtPjoYQk",Kalyan Dombivali,Thane,2020-06-30,['Economic'],negative
1.28e+18,"Lckdown alone is not enough ,WB lacks social distanceing https://t.co/WX3AtUQ3Bm",Kolkata,Kolkata,2020-06-30,['Transpotation'],negative
1.28e+18,"The Chennai lockdown means Notion can't ship anymore copies of COME TOMORROW for now, and I'm not sure if shipping… https://t.co/xNDszg1JEu",Bengaluru,Bangalore ,2020-06-30,['Economic'],negative
1.28e+18,"Adv Satish Maneshinde appointed special public prosecutor in Palghar mob lynching case

On 16 April, a group had ly… https://t.co/6mpqdm7olj",Mumbai,Mumbai ,2020-06-30,,neutral
1.28e+18,"WB COVID-19 Daily Health Bulletin: 30th June, 2020.
A detailed snapshot of all relevant details on COVID-19 in WB.… https://t.co/7Jn4lDMxLD",English Bazar,Maldah,2020-06-30,,neutral
1.28e+18,Breaking: Over 370 COVID-19 positive cases detected today in Guwahati city. This will be Guwahati’s highest single day spike.,Guwahati,Kamrup Metropolitan,2020-06-30,,positive
1.28e+18,"WB COVID-19 Daily Health Bulletin: 30th June, 2020.
A detailed snapshot of all relevant details on COVID-19 in WB.… https://t.co/ZR7had0yr9",English Bazar,Maldah,2020-06-30,,neutral
1.28e+18,Koi aisa is twitter mainjo meri help karein meri job wapis Dilane main jio FTTH Jhansi company abscond no reason on… https://t.co/IPB24mFSBL,Jhansi,Jhansi,2020-06-30,,neutral
1.28e+18,"Lockdown ended in Dubai see how they thanked their heroes @narendramodi_in 
@AmitShah 
@JPNadda 
@shamjaju… https://t.co/hdHGY2TdI5",New Delhi,New Delhi,2020-06-30,,neutral
1.28e+18,Please share as much as possible... Urgently required...for a #COVID patient in Delhi https://t.co/ZrLGYSVFzq,Rajendra Nagar,Patna,2020-06-30,['Economic'],negative
1.28e+18,"@JagaNagAkhilFan @saikumar_8007 Bro share this. This is the official covid application.
https://t.co/IMFZZwux79",Tirupati,Chittoor,2020-06-30,,neutral
1.28e+18,@BBMP_MAYOR @BBMPCOMM @DHFWKA Residents of Kengeri satellite town are feared with COVID 19 virus spreading fastly a… https://t.co/GjxDJEvfwB,Bengaluru South,Bangalore ,2020-06-30,['Food Shortage'],negative
1.28e+18,"Leo Full Video 😷😉🤣

https://t.co/Ltb2zQAcFW

#coronavirus #lockdown 
#modiji #modi #rjraghavindiaa 
@RjRaghavindia… https://t.co/CNtUUZi0xc",Kanpur,Kanpur Nagar,2020-06-30,['Economic'],negative
1.28e+18,"#ModiCARES4Poor
Timely lockdown and other bold decisions by the Modi Govt have saved the lives of millions of peopl… https://t.co/iAkNdT5NIP",Lucknow,Lucknow,2020-06-30,['Others'],negative
1.28e+18,"Jharkhand teacher uses loudspeakers for 'virtual' classes in village amidst lockdown
https://t.co/u3UV8xEdF3",Ahmadabad City,Ahmedabad ,2020-06-30,,neutral
1.28e+18,"What allowed and not allowed in #Tamilnadu from 01/JUL/2020 
#TamilNadulockdown #Covid_19india #CoronavirusIndia https://t.co/78dnAe3xMu",Chirala,Prakasam,2020-06-30,,neutral
1.28e+18,"@RanaKumbha @ankushwit @vishalrelwani @andrewkoski Oh I just look at validating belief on HIT based on avg. IMHO, s… https://t.co/4YwLY1wPRT",Indore,Indore,2020-06-30,['Transpotation'],negative
1.28e+18,Trainers ka looot... tax se loot....petrol diesel pe loot... ghar baithe dhanda chaupat.... popcorn aur paratha pe… https://t.co/Rkgfsh3KQD,Mumbai,Mumbai ,2020-06-30,['Daily Services'],negative
